Starting a Gradle Daemon (subsequent builds will be faster)
Exception in thread "DisconnectableInputStream source reader" org.gradle.api.UncheckedIOException: java.io.IOException: Bad file descriptor
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:61)
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:41)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:127)
	at java.lang.Thread.run(Thread.java:748)
Caused by: java.io.IOException: Bad file descriptor
	at java.io.FileInputStream.readBytes(Native Method)
	at java.io.FileInputStream.read(FileInputStream.java:255)
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:284)
	at java.io.BufferedInputStream.read(BufferedInputStream.java:345)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:98)
	... 1 more
Configuration on demand is an incubating feature.
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,20,36004,3.578796678560323E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",29.0,1
0,1,20,40489,3.5682632784561396E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",31.0,1
0,2,20,47625,3.5556231983311184E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",31.0,1
0,3,20,57100,3.540613103182656E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",32.0,1
0,4,20,63807,3.5237596630159624E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,5,20,76281,3.503821274909046E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",34.0,1
0,6,20,96400,3.4785331053919174E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,7,20,90409,3.455181540221679E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,8,20,95298,3.430157790160247E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",32.0,1
0,9,20,85746,3.407504711157266E7,-1.0,-1.0,scratch,repertoire,10000,0.5,0.75,0.1,"1212,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",32.0,1
